Musteri_Memnuniyeti,Maliyet,Oy_Sayisi,Mutfak_Turu,Rezervasyon,Online_Teslimat,Maliyet_Kategori
0.0,55,0,Brazilian,No,No,Ekonomik
6.8,200,73,French,No,No,Ekonomik
7.0,120,9,"Sushi, Japanese",No,No,Ekonomik
8.6,300,39,"BBQ, Grill, Brazilian",No,No,Ekonomik
7.8,230,12,Sushi,No,No,Ekonomik
8.6,120,68,"Gourmet Fast Food, Burger",No,No,Ekonomik
8.6,150,46,"Brazilian, Italian",No,No,Ekonomik
8.8,400,37,Italian,No,No,Orta
0.0,65,2,"Brazilian, Mineira",No,No,Ekonomik
0.0,50,2,Brazilian,No,No,Ekonomik
8.8,100,22,"Brazilian, North Eastern",No,No,Ekonomik
9.2,70,58,"Brazilian, Bar Food, Beverages",No,No,Ekonomik
8.2,120,11,"Lebanese, Arabian",No,No,Ekonomik
6.6,25,35,"BBQ, Burger, Seafood",No,No,Ekonomik
6.6,10,25,"American, BBQ",No,No,Ekonomik
6.8,0,45,Mexican,No,No,Ekonomik
6.8,10,26,"Coffee and Tea, Sandwich",No,No,Ekonomik
7.0,10,67,Fast Food,No,No,Ekonomik
7.8,10,141,"Asian, Chinese, Vegetarian",No,No,Ekonomik
7.4,25,147,"Pizza, Bar Food, Sandwich",No,No,Ekonomik
7.0,70,51,"Steak, Tapas, Bar Food",No,No,Ekonomik
7.2,25,88,"Chinese, Seafood, Vegetarian",No,No,Ekonomik
7.6,10,153,Chinese,No,No,Ekonomik
7.0,25,57,"American, Burger, Sandwich",No,No,Ekonomik
7.0,25,58,"American, Steak",No,No,Ekonomik
7.2,40,115,"Japanese, Steak, Sushi",No,No,Ekonomik
7.0,40,51,"Japanese, Steak, Sushi",No,No,Ekonomik
7.6,40,250,"Seafood, Tapas, Bar Food",No,No,Ekonomik
7.4,10,117,"Italian, Pizza",No,No,Ekonomik
6.8,10,20,"American, Breakfast, Diner",No,No,Ekonomik
7.0,20,25,"Bar Food, Steak",No,No,Ekonomik
9.0,40,1821,"American, Southern, Southwestern",No,No,Ekonomik
9.0,10,849,Southern,No,No,Ekonomik
9.2,10,917,Mexican,No,No,Ekonomik
7.8,10,439,"Japanese, Korean",No,No,Ekonomik
7.4,10,289,"Breakfast, Burger, Sandwich",No,No,Ekonomik
8.6,10,558,"Breakfast, Sandwich",No,No,Ekonomik
8.4,10,613,"American, Burger, Sandwich",No,No,Ekonomik
8.0,25,353,"American, Italian, Pizza",No,No,Ekonomik
8.2,25,387,"American, Italian, Pizza",No,No,Ekonomik
8.6,40,755,American,No,No,Ekonomik
8.4,10,800,"International, Southern, Vegetarian",No,No,Ekonomik
8.2,10,350,Sandwich,No,No,Ekonomik
8.2,40,464,Italian,No,No,Ekonomik
8.4,25,550,"Asian, Japanese, Sushi",No,No,Ekonomik
8.2,10,543,"Mexican, Spanish",No,No,Ekonomik
8.2,40,465,"International, Southern",No,No,Ekonomik
8.8,10,546,Bar Food,No,No,Ekonomik
8.8,10,1098,"Italian, Pizza, Sandwich",No,No,Ekonomik
8.4,25,579,"Burger, Bar Food",No,No,Ekonomik
8.2,10,374,"Desserts, Latin American, Argentine",No,No,Ekonomik
9.2,40,717,"Chinese, Steak",No,No,Ekonomik
9.8,40,548,"American, Caribbean, Seafood",No,No,Ekonomik
9.0,25,631,"International, Tapas, Vegetarian",No,No,Ekonomik
7.8,10,372,"Desserts, Sandwich, Southern",No,No,Ekonomik
7.8,25,201,"American, Burger",No,No,Ekonomik
7.6,40,332,"Breakfast, French",No,No,Ekonomik
7.0,25,304,BBQ,No,No,Ekonomik
8.6,40,368,American,No,No,Ekonomik
8.2,25,430,"Desserts, Italian, Pizza",No,No,Ekonomik
8.8,25,433,"Italian, Pizza, Sandwich",No,No,Ekonomik
8.0,10,380,Mexican,No,No,Ekonomik
8.0,25,456,"Bar Food, Sandwich, Seafood",No,No,Ekonomik
8.4,40,647,"Mexican, Southwestern, Sushi",No,No,Ekonomik
8.0,40,360,Steak,No,No,Ekonomik
8.0,25,227,Indian,No,No,Ekonomik
7.8,25,290,German,No,No,Ekonomik
8.2,10,270,Vietnamese,No,No,Ekonomik
8.0,25,326,"Burger, Seafood",No,No,Ekonomik
8.6,35,317,Thai,No,No,Ekonomik
8.4,10,300,Mexican,No,No,Ekonomik
6.4,20,21,Modern Australian,No,No,Ekonomik
9.2,20,237,"Pizza, Bar Food",No,No,Ekonomik
9.0,25,879,"American, Bar Food",No,No,Ekonomik
9.2,25,615,"Italian, Pizza",No,No,Ekonomik
9.0,25,879,"Breakfast, Sandwich",No,No,Ekonomik
7.8,70,379,"American, Seafood, Steak",No,No,Ekonomik
8.6,10,303,"European, Spanish",No,No,Ekonomik
8.2,70,538,"Latin American, Steak",No,No,Ekonomik
8.4,10,334,"American, Burger, Sandwich",No,No,Ekonomik
8.6,25,555,"American, Bar Food",No,No,Ekonomik
8.8,10,823,"American, Burger",No,No,Ekonomik
8.2,25,550,Pizza,No,No,Ekonomik
8.8,25,650,"American, Burger",No,No,Ekonomik
8.6,10,410,Pizza,No,No,Ekonomik
8.8,10,660,Mexican,No,No,Ekonomik
8.8,25,360,"Italian, Seafood, Vegetarian",No,No,Ekonomik
8.0,40,340,"Sushi, Thai",No,No,Ekonomik
8.2,25,393,"Japanese, Sushi, Teriyaki",No,No,Ekonomik
8.6,10,422,Breakfast,No,No,Ekonomik
8.0,40,435,Brazilian,No,No,Ekonomik
8.0,25,369,"American, BBQ, Steak",No,No,Ekonomik
8.8,40,487,American,No,No,Ekonomik
7.4,40,98,"American, Mediterranean, Seafood",No,No,Ekonomik
8.2,40,365,"Italian, Pizza",No,No,Ekonomik
8.2,10,190,Mexican,No,No,Ekonomik
8.2,40,429,"American, Breakfast, Burger",No,No,Ekonomik
8.8,25,430,"American, BBQ, Burger",No,No,Ekonomik
8.4,25,186,Indian,No,No,Ekonomik
8.4,10,220,"Chinese, Sushi, Thai",No,No,Ekonomik
8.4,10,347,Chinese,No,No,Ekonomik
7.6,25,161,"American, Italian, Pizza",No,No,Ekonomik
8.2,25,160,Indian,No,No,Ekonomik
9.8,10,820,Burger,No,No,Ekonomik
9.0,10,488,"American, Breakfast, Burger",No,No,Ekonomik
7.2,25,253,"Breakfast, Diner",No,No,Ekonomik
7.6,40,220,"American, International, Sushi",No,No,Ekonomik
8.6,25,485,Pizza,No,No,Ekonomik
8.6,40,428,International,No,No,Ekonomik
8.2,25,294,"American, Breakfast",No,No,Ekonomik
8.0,40,380,"Mediterranean, Tapas, Vegetarian",No,No,Ekonomik
8.4,25,259,BBQ,No,No,Ekonomik
9.4,25,433,"Pizza, Sandwich",No,No,Ekonomik
7.4,25,176,"Japanese, Sushi",No,No,Ekonomik
8.6,10,96,"American, Breakfast, Desserts",No,No,Ekonomik
6.2,25,6,"Asian, Japanese",No,No,Ekonomik
6.6,10,33,"Asian, Vietnamese",No,No,Ekonomik
9.2,25,489,"American, Seafood, Cajun",No,No,Ekonomik
9.0,25,345,American,No,No,Ekonomik
7.6,25,149,"Burger, Bar Food, Southern",No,No,Ekonomik
7.8,25,330,"Pizza, Bar Food",No,No,Ekonomik
7.8,40,247,"Japanese, Steak",No,No,Ekonomik
7.4,10,123,"Breakfast, Diner, Southern",No,No,Ekonomik
7.2,40,109,"Japanese, Steak, Sushi",No,No,Ekonomik
7.4,40,134,"Japanese, Sushi, Thai",No,No,Ekonomik
8.4,40,722,"Seafood, Steak, Vegetarian",No,No,Ekonomik
8.6,25,213,Steak,No,No,Ekonomik
8.0,25,335,Chinese,No,No,Ekonomik
8.0,25,353,"BBQ, Southern",No,No,Ekonomik
8.0,0,170,"Italian, Pizza",No,No,Ekonomik
8.2,25,192,Pizza,No,No,Ekonomik
8.2,40,302,"American, Tapas",No,No,Ekonomik
8.4,10,355,"Asian, Chinese",No,No,Ekonomik
8.6,25,287,American,No,No,Ekonomik
8.0,40,264,"Italian, Mediterranean, Pizza",No,No,Ekonomik
8.8,40,235,"American, Seafood, Steak",No,No,Ekonomik
6.0,25,6,"Chinese, Canadian",No,No,Ekonomik
7.4,25,38,"American, BBQ, Southern",No,No,Ekonomik
8.8,10,122,"Desserts, Sandwich",No,No,Ekonomik
8.8,25,207,BBQ,No,No,Ekonomik
7.8,10,66,"Mexican, Tex-Mex",No,No,Ekonomik
9.8,10,249,"BBQ, Breakfast, Southern",No,No,Ekonomik
7.6,25,63,American,No,No,Ekonomik
7.6,40,145,"Japanese, Sushi",No,No,Ekonomik
7.6,10,83,Mexican,No,No,Ekonomik
7.4,25,116,Italian,No,No,Ekonomik
8.2,10,122,"American, Burger",No,No,Ekonomik
8.2,10,142,Fast Food,No,No,Ekonomik
8.2,10,114,Mexican,No,No,Ekonomik
9.2,25,214,"American, Japanese, Sushi",No,No,Ekonomik
8.6,10,116,Japanese,No,No,Ekonomik
8.4,25,111,Thai,No,No,Ekonomik
7.4,10,25,"Desserts, Sandwich",No,No,Ekonomik
8.2,10,128,BBQ,No,No,Ekonomik
8.6,10,244,"American, Diner, Southern",No,No,Ekonomik
8.4,10,112,"American, BBQ, Southern",No,No,Ekonomik
8.2,10,144,"Italian, Pizza",No,No,Ekonomik
9.2,25,166,"Indian, Mediterranean, Middle Eastern",No,No,Ekonomik
9.0,40,208,"Sushi, Teriyaki",No,No,Ekonomik
7.8,25,136,"Burger, Pizza",No,No,Ekonomik
8.0,10,85,"American, Breakfast, Greek",No,No,Ekonomik
8.2,25,117,Italian,No,No,Ekonomik
6.8,25,53,"American, Breakfast",No,No,Ekonomik
9.8,25,474,Asian,No,No,Ekonomik
7.8,10,125,Fast Food,No,No,Ekonomik
7.4,70,201,"American, French",No,No,Ekonomik
0.0,25,2,"American, Bar Food, BBQ",No,No,Ekonomik
0.0,25,3,Mexican,No,No,Ekonomik
8.6,0,167,Mexican,No,No,Ekonomik
8.0,25,112,Chinese,No,No,Ekonomik
8.2,25,256,Thai,No,No,Ekonomik
8.6,10,123,American,No,No,Ekonomik
8.0,25,199,American,No,No,Ekonomik
8.2,25,157,Mexican,No,No,Ekonomik
8.2,25,100,American,No,No,Ekonomik
8.4,40,141,"Japanese, Sushi",No,No,Ekonomik
8.4,25,197,"American, BBQ, Steak",No,No,Ekonomik
9.0,25,1025,"BBQ, Burger, Desserts",No,No,Ekonomik
9.8,25,570,"American, Coffee and Tea",No,No,Ekonomik
9.0,40,674,"BBQ, Caribbean, Cajun",No,No,Ekonomik
8.2,25,496,"Asian, Sushi, Thai",No,No,Ekonomik
8.0,25,411,"Asian, Chinese",No,No,Ekonomik
6.4,25,113,"Latin American, Mexican",No,No,Ekonomik
9.0,40,1109,"Italian, Pizza",No,No,Ekonomik
9.2,25,728,"Chinese, Pizza",No,No,Ekonomik
8.8,10,659,"Asian, Vegetarian, Vietnamese, Bubble Tea",No,No,Ekonomik
8.4,40,370,"American, Pizza, Bar Food",No,No,Ekonomik
8.6,40,532,French,No,No,Ekonomik
9.6,25,860,"Japanese, Sushi",No,No,Ekonomik
8.4,10,943,"Burger, Desserts, Vegetarian",No,No,Ekonomik
8.2,70,476,"American, Italian",No,No,Ekonomik
8.2,10,218,Chinese,No,No,Ekonomik
8.0,10,214,"Breakfast, Mexican, Southwestern",No,No,Ekonomik
8.6,25,699,"American, BBQ",No,No,Ekonomik
7.6,25,308,"American, Breakfast",No,No,Ekonomik
8.0,25,157,Latin American,No,No,Ekonomik
8.4,40,530,"Seafood, Sushi",No,No,Ekonomik
7.2,7,29,"Coffee and Tea, Tea, Modern Australian",No,No,Ekonomik
6.8,10,33,Breakfast,No,No,Ekonomik
6.6,25,40,Seafood,No,No,Ekonomik
6.8,10,153,Mexican,No,No,Ekonomik
6.6,25,65,"American, BBQ, Seafood",No,No,Ekonomik
6.8,25,58,Italian,No,No,Ekonomik
7.0,25,100,"American, Burger, Sandwich",No,No,Ekonomik
7.2,10,156,Mexican,No,No,Ekonomik
7.0,0,74,"Desserts, Pizza, Ice Cream",No,No,Ekonomik
7.2,25,117,"American, Burger",No,No,Ekonomik
7.4,40,83,"Japanese, Steak, Sushi",No,No,Ekonomik
7.2,25,48,"American, Burger",No,No,Ekonomik
7.6,40,198,"International, Pizza",No,No,Ekonomik
7.0,10,126,Mexican,No,No,Ekonomik
7.0,10,119,"Breakfast, Pizza",No,No,Ekonomik
7.2,25,140,"American, Italian",No,No,Ekonomik
7.2,40,159,American,No,No,Ekonomik
7.2,25,131,"Italian, Pizza",No,No,Ekonomik
7.0,10,60,"American, Breakfast, Burger",No,No,Ekonomik
7.4,25,89,"American, Burger, Pizza, Cafe",No,No,Ekonomik
7.2,70,72,"American, Seafood, Steak",No,No,Ekonomik
8.2,20,56,Cafe,No,No,Ekonomik
7.4,10,83,Mexican,No,No,Ekonomik
7.0,30,37,"Tea, Modern Australian",No,No,Ekonomik
7.4,20,29,"Cafe, Australian",No,No,Ekonomik
8.8,25,239,"American, Sandwich, Seafood",No,No,Ekonomik
8.2,10,235,"BBQ, Burger, Seafood",No,No,Ekonomik
7.6,25,88,"American, Burger, Cajun",No,No,Ekonomik
7.8,10,133,BBQ,No,No,Ekonomik
8.8,10,267,"Chinese, Japanese, Thai",No,No,Ekonomik
8.2,25,171,"Bar Food, Seafood, Vegetarian",No,No,Ekonomik
7.6,25,107,Seafood,No,No,Ekonomik
8.6,40,164,"American, Southern",No,No,Ekonomik
8.2,10,182,"BBQ, Sandwich",No,No,Ekonomik
9.8,25,681,"Sandwich, Seafood, Cajun",No,No,Ekonomik
9.2,10,357,Thai,No,No,Ekonomik
7.6,25,89,BBQ,No,No,Ekonomik
8.4,25,350,"American, European, Sandwich",No,No,Ekonomik
8.6,10,298,Southern,No,No,Ekonomik
8.4,25,319,"American, Southern",No,No,Ekonomik
7.6,40,114,German,No,No,Ekonomik
7.8,10,136,"German, Ice Cream",No,No,Ekonomik
4.4,25,108,"Burger, German, Sandwich",No,No,Ekonomik
8.0,10,161,"Italian, Pizza, Sandwich",No,No,Ekonomik
7.6,20,192,"Cafe, Coffee and Tea, Modern Australian",No,No,Ekonomik
7.6,7,93,"Italian, Fusion, Cafe",No,No,Ekonomik
8.2,20,40,"Breakfast, Modern Australian",No,No,Ekonomik
7.4,7,100,"Burger, Coffee and Tea, Modern Australian",No,No,Ekonomik
7.6,7,97,"Breakfast, Coffee and Tea",No,No,Ekonomik
7.2,10,41,"Burger, Desserts, Sandwich",No,No,Ekonomik
9.0,25,799,Thai,No,No,Ekonomik
7.2,20,18,"Breakfast, Coffee and Tea",No,No,Ekonomik
7.0,20,31,Cafe,No,No,Ekonomik
7.8,25,146,"Coffee and Tea, Cuban, Latin American",No,No,Ekonomik
9.8,10,478,"Pizza, Sandwich",No,No,Ekonomik
9.2,25,467,Seafood,No,No,Ekonomik
9.0,25,302,"Chinese, Thai",No,No,Ekonomik
9.0,25,289,"Burger, Desserts, Bar Food",No,No,Ekonomik
8.2,40,293,"American, Seafood",No,No,Ekonomik
8.0,70,195,Steak,No,No,Ekonomik
8.6,10,244,"Desserts, Greek, Sandwich",No,No,Ekonomik
8.4,70,379,"European, Italian, Mediterranean",No,No,Ekonomik
8.4,10,223,"Greek, Mediterranean, Vegetarian",No,No,Ekonomik
7.4,25,243,"American, Chinese, Sushi",No,No,Ekonomik
7.4,25,104,Italian,No,No,Ekonomik
7.4,10,153,"Japanese, Sushi, Thai",No,No,Ekonomik
7.6,25,323,"Pizza, Sandwich, Vegetarian",No,No,Ekonomik
8.2,10,181,Mexican,No,No,Ekonomik
8.0,25,316,"American, Greek, Seafood",No,No,Ekonomik
8.4,25,288,BBQ,No,No,Ekonomik
8.0,10,232,"Japanese, Sushi, Thai",No,No,Ekonomik
8.2,40,314,"Japanese, Steak, Sushi",No,No,Ekonomik
5.8,20,11,Asian,No,No,Ekonomik
4.8,10,17,"Breakfast, Burger",No,No,Ekonomik
7.6,30,176,"Bar Food, Modern Australian",No,No,Ekonomik
7.2,25,65,"Italian, Pizza",No,No,Ekonomik
4.8,30,193,"Coffee and Tea, Modern Australian",No,No,Ekonomik
7.2,40,30,"American, International, Southwestern",No,No,Ekonomik
8.8,40,981,"Spanish, Tapas",No,No,Ekonomik
9.0,45,1151,Hawaiian,No,No,Ekonomik
9.4,35,1341,"American, Sandwich, Salad",No,No,Ekonomik
8.6,50,782,Irish,No,No,Ekonomik
9.2,40,1293,"New American, Tapas",No,No,Ekonomik
9.2,100,2324,"Brazilian, Steak",No,No,Ekonomik
8.6,45,910,Caribbean,No,No,Ekonomik
8.8,50,886,Italian,No,No,Ekonomik
9.2,35,1293,"Asian, Thai",No,No,Ekonomik
8.8,10,570,"Asian, Latin American, Vegetarian",No,No,Ekonomik
8.8,60,1685,American,No,No,Ekonomik
9.6,40,1699,German,No,No,Ekonomik
9.8,25,1457,"American, Sandwich, Tea",No,No,Ekonomik
9.8,35,1252,"American, BBQ, Sandwich",No,No,Ekonomik
9.4,25,1412,Cajun,No,No,Ekonomik
7.2,25,432,"Southern, Cajun, Soul Food",No,No,Ekonomik
8.4,40,568,"Mediterranean, Turkish",No,No,Ekonomik
8.8,25,797,"American, Breakfast, Vegetarian",No,No,Ekonomik
8.8,40,1998,Pub Food,No,No,Ekonomik
8.8,30,381,"Mediterranean, Seafood",No,No,Ekonomik
5.2,120,16,Modern Australian,No,No,Ekonomik
6.8,20,19,"Cafe, Coffee and Tea, Sandwich",No,No,Ekonomik
8.4,25,635,"Mexican, Southwestern, Tex-Mex",No,No,Ekonomik
9.8,40,2238,"Burger, Bar Food, Steak",No,No,Ekonomik
9.2,10,792,"Italian, Pizza, Sandwich",No,No,Ekonomik
9.0,10,828,"Asian, Vietnamese",No,No,Ekonomik
7.4,40,292,"Italian, Pizza, Seafood",No,No,Ekonomik
7.8,25,502,Tapas,No,No,Ekonomik
7.4,25,559,"Burger, Bar Food",No,No,Ekonomik
8.4,25,1268,"Latin American, Mexican, Southwestern",No,No,Ekonomik
8.2,40,669,"Seafood, Sushi",No,No,Ekonomik
8.8,40,900,"European, International, Tapas",No,No,Ekonomik
8.6,25,765,"Japanese, Sushi",No,No,Ekonomik
8.0,40,1270,"American, Seafood, Sushi",No,No,Ekonomik
8.2,25,502,"Italian, Mediterranean, Pizza",No,No,Ekonomik
7.8,40,724,Seafood,No,No,Ekonomik
7.0,40,479,"Caribbean, Seafood, Steak",No,No,Ekonomik
8.4,25,591,"Breakfast, Burger",No,No,Ekonomik
8.8,40,1408,"Burger, Sandwich, Seafood",No,No,Ekonomik
8.6,40,905,"Caribbean, Seafood",No,No,Ekonomik
9.4,10,816,Greek,No,No,Ekonomik
8.8,40,747,"Sandwich, Seafood, Cajun",No,No,Ekonomik
7.4,20,351,"Breakfast, Coffee and Tea, Modern Australian",No,No,Ekonomik
7.4,10,104,"Burger, Fast Food",No,No,Ekonomik
7.0,45,83,"American, BBQ, Steak",No,No,Ekonomik
7.2,10,91,"Asian, Thai",No,No,Ekonomik
7.2,0,59,"Pizza, Bar Food",No,No,Ekonomik
7.4,40,222,"Italian, Pizza, Sandwich",No,No,Ekonomik
7.2,30,121,"American, Breakfast",No,No,Ekonomik
7.0,10,93,Chinese,No,No,Ekonomik
7.6,10,136,"Coffee and Tea, Sandwich",No,No,Ekonomik
7.6,10,160,"Pizza, Sandwich",No,No,Ekonomik
7.4,25,152,"American, Greek",No,No,Ekonomik
7.0,10,57,"Burger, Pizza, Sandwich",No,No,Ekonomik
7.4,25,191,"American, Pizza",No,No,Ekonomik
7.2,40,85,"American, Seafood, Steak",No,No,Ekonomik
7.2,0,108,Mexican,No,No,Ekonomik
7.2,25,132,"Asian, Sushi, Vegetarian",No,No,Ekonomik
7.6,25,141,"Indian, International, Vegetarian",No,No,Ekonomik
7.4,25,162,"Desserts, Thai",No,No,Ekonomik
7.2,40,144,New American,No,No,Ekonomik
0.0,25,1,"Indian, Persian",No,No,Ekonomik
8.2,10,365,Mexican,No,No,Ekonomik
6.6,25,9,"American, BBQ, Burger",No,No,Ekonomik
8.0,70,542,Seafood,No,No,Ekonomik
9.0,25,691,Seafood,No,No,Ekonomik
9.4,35,764,"American, Pizza, Bar Food",No,No,Ekonomik
9.0,30,487,Seafood,No,No,Ekonomik
9.0,10,695,"American, Hawaiian",No,No,Ekonomik
8.4,40,485,Burger,No,No,Ekonomik
8.4,40,807,"Japanese, Seafood, Sushi",No,No,Ekonomik
9.2,10,723,Asian,No,No,Ekonomik
8.4,10,874,"Asian, Breakfast, Hawaiian",No,No,Ekonomik
8.8,25,552,"Breakfast, Burger",No,No,Ekonomik
8.6,40,1056,"Hawaiian, Seafood, Steak",No,No,Ekonomik
8.6,40,707,"Hawaiian, Seafood, Steak",No,No,Ekonomik
9.8,70,1343,"Hawaiian, Seafood",No,No,Ekonomik
9.8,10,602,Japanese,No,No,Ekonomik
9.2,40,1078,"American, Asian, Burger",No,No,Ekonomik
7.8,25,232,American,No,No,Ekonomik
8.8,70,1492,"Hawaiian, Seafood, Steak",No,No,Ekonomik
8.0,10,535,Breakfast,No,No,Ekonomik
8.4,70,531,"Asian, European, Seafood",No,No,Ekonomik
8.4,25,694,"American, Breakfast, Hawaiian",No,No,Ekonomik
6.6,40,1201,Southern,No,No,Ekonomik
9.4,40,906,Burger,No,No,Ekonomik
9.2,10,880,"Desserts, Sandwich, Ice Cream",No,No,Ekonomik
9.0,40,1014,"American, Southern",No,No,Ekonomik
9.0,25,796,"International, Mediterranean, Sandwich",No,No,Ekonomik
7.4,25,747,"American, Bar Food, Sandwich",No,No,Ekonomik
7.6,40,566,"American, Seafood, Steak",No,No,Ekonomik
8.2,25,683,"American, Breakfast",No,No,Ekonomik
8.8,25,690,"American, Bar Food",No,No,Ekonomik
8.4,10,680,"Breakfast, Vegetarian",No,No,Ekonomik
8.2,10,287,"American, Breakfast",No,No,Ekonomik
8.2,40,802,"Breakfast, Cajun",No,No,Ekonomik
8.6,25,710,"Breakfast, Diner, Sandwich",No,No,Ekonomik
8.6,10,456,"Coffee and Tea, Desserts",No,No,Ekonomik
8.0,70,687,"Pizza, Seafood, Steak",No,No,Ekonomik
8.6,25,719,"Cafe, Sandwich, Southern",No,No,Ekonomik
8.8,70,1803,"American, Seafood, Southern",No,No,Ekonomik
8.2,70,558,American,No,No,Ekonomik
7.6,40,883,Seafood,No,No,Ekonomik
6.8,300,34,"Chinese, Continental, Singaporean",No,No,Ekonomik
8.0,270,33,"American, Steak",No,No,Ekonomik
7.6,500,33,"French, Mediterranean, European",No,No,Orta
6.2,80,34,American,No,No,Ekonomik
7.6,430,35,French,No,No,Orta
7.8,315,33,French,No,No,Orta
8.4,20,29,Bakery,No,No,Ekonomik
8.2,100,35,Italian,No,No,Ekonomik
6.4,50,29,"Italian, French, Bakery, Cafe",No,No,Ekonomik
6.4,80,30,"American, Japanese, Singaporean",No,No,Ekonomik
7.4,40,33,Cafe,No,No,Ekonomik
6.0,30,25,"Singaporean, Chinese, Seafood, Malay, Indian",No,No,Ekonomik
7.6,220,30,"Asian, Continental, Seafood",No,No,Ekonomik
7.8,300,34,"Chinese, Seafood, Cantonese, Dim Sum",No,No,Ekonomik
6.2,60,33,"Singaporean, Australian, German",No,No,Ekonomik
6.4,60,32,"Western, Fusion, Fast Food",No,No,Ekonomik
6.4,95,30,"American, Mexican",No,No,Ekonomik
7.6,50,28,"American, Bakery, European, Burger, Fusion",No,No,Ekonomik
7.8,40,35,Finger Food,No,No,Ekonomik
6.4,75,33,"Cafe, Spanish, Turkish, Greek",No,No,Ekonomik
7.4,40,100,"Burger, Seafood, Steak",No,No,Ekonomik
7.2,10,92,"American, Pizza, Bar Food",No,No,Ekonomik
7.6,10,182,"Asian, Vegetarian, Vietnamese",No,No,Ekonomik
7.2,10,76,BBQ,No,No,Ekonomik
